Source,keyword,headline,Source Type
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Environmental Change, 30, 92–100. Kirilenko, A. P., & Stepchenkova, S. O. (2014). Public microblogging on climate change: One year of Twitter worldwide <http://dx.doi.org/10.1016/j.gloenvcha.2014.02.008>. Global Environmental Change, 26, 171–182.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"worldwide <http://dx.doi.org/10.1016/j.gloenvcha.2014.02.008>. Global Environmental Change, 26, 171–182. Koteyko, N., Jaspal, R., & Nerlich, B. (2013). Climate change and “climategate” in online reader comments: A mixed methods study <http://dx.doi.org/10.1111/j.1475-4959.2012.00479.x>. Geographical Journal, 179(1), 74–86.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"worldwide <http://dx.doi.org/10.1016/j.gloenvcha.2014.02.008>. Global Environmental Change, 26, 171–182. Koteyko, N., Jaspal, R., & Nerlich, B. (2013). Climate change and “climategate” in online reader comments: A mixed methods study <http://dx.doi.org/10.1111/j.1475-4959.2012.00479.x>. Geographical Journal, 179(1), 74–86.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., & Feinberg, G. (2013). How Americans communicate about global warming in April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., & Feinberg, G. (2013). How Americans communicate about global warming in April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"warming in April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"warming in April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Howe, P. (2013). Extreme weather and climate change in the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American mind: October 2015. New Haven, CT: Yale Project on Climate Change Communication.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"the American mind: April 2013. New Haven, CT: Yale Project on Climate Change Communication. Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American mind: October 2015. New Haven, CT: Yale Project on Climate Change Communication.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American mind: October 2015. New Haven, CT: Yale Project on Climate Change Communication. Lievrouw, L. A. (2010). Social media and the production of knowledge: A return to little science? <http://dx.doi.org/",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Leiserowitz, A., Maibach, E., Roser-Renouf, C., Feinberg, G., & Rosenthal, S. (2015). Climate change in the American mind: October 2015. New Haven, CT: Yale Project on Climate Change Communication. Lievrouw, L. A. (2010). Social media and the production of knowledge: A return to little science? <http://dx.doi.org/",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"collaboration.html>. Lineman, M., Do, Y., Kim, J. Y., & Joo, G.-J. (2015). Talking about climate change and global warming <http:// dx.doi.org/10.1371/journal.pone.0138996>. PLoS ONE, 10(9), e0138996.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"collaboration.html>. Lineman, M., Do, Y., Kim, J. Y., & Joo, G.-J. (2015). Talking about climate change and global warming <http:// dx.doi.org/10.1371/journal.pone.0138996>. PLoS ONE, 10(9), e0138996.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Marx, S. M., Weber, E. U., Orlove, B. S., Leiserowitz, A., Krantz, D. H., Roncoli, C., et al. (2007). Communication and mental processes: Experiential and analytic processing of uncertain climate information <http://dx.doi.org/10.1016/ j.gloenvcha.2006.10.004>. Global Environmental Change, 17(1), 47–58.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 16 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 16 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Page 16 of 19 Printed from Oxford Research Encyclopedias, Climate Science. Under the terms of the licence agreement, an individual user may print out a single article for personal use (for details see Privacy Policy and Legal Notice).",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Subscriber: University of California, Los Angeles; date: 04 November 2025 Matthews, P. (2015). Why are people skeptical about climate change? Some insights from blog comments <http:// dx.doi.org/10.1080/17524032.2014.999694>. Environmental Communication, 9(2), 153–168.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Subscriber: University of California, Los Angeles; date: 04 November 2025 Matthews, P. (2015). Why are people skeptical about climate change? Some insights from blog comments <http:// dx.doi.org/10.1080/17524032.2014.999694>. Environmental Communication, 9(2), 153–168.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Myers, T. A., Maibach, E. W., Roser-Renouf, C., Akerlof, K., & Leiserowitz, A. A. (2012). The relationship between personal experience and belief in the reality of global warming <http://dx.doi.org/10.1038/nclimate1754>. Nature Climate Change, 3, 343–347.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Change, 3, 343–347. Nerlich, B., Koteyko, N., & Brown, B. (2010). Theory and language of climate change communication. Wiley Interdisciplinary Reviews: Climate Change, 1(1), 97–110.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Change, 3, 343–347. Nerlich, B., Koteyko, N., & Brown, B. (2010). Theory and language of climate change communication. Wiley Interdisciplinary Reviews: Climate Change, 1(1), 97–110.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Nerlich, B., Koteyko, N., & Brown, B. (2010). Theory and language of climate change communication. Wiley Interdisciplinary Reviews: Climate Change, 1(1), 97–110. Nisbet, M. C., & Kotcher, J. E. (2009). A two-step flow of influence? Opinion-leader campaigns on climate",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Nerlich, B., Koteyko, N., & Brown, B. (2010). Theory and language of climate change communication. Wiley Interdisciplinary Reviews: Climate Change, 1(1), 97–110. Nisbet, M. C., & Kotcher, J. E. (2009). A two-step flow of influence? Opinion-leader campaigns on climate",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Interdisciplinary Reviews: Climate Change, 1(1), 97–110. Nisbet, M. C., & Kotcher, J. E. (2009). A two-step flow of influence? Opinion-leader campaigns on climate change <http://dx.doi.org/10.1177/1075547008328797>. Science Communication, 30(3), 328–354.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",green,"Nisbet, M. C., Markowitz, E. M., & Kotcher, J. E. (2012). Winning the conversation: Framing and moral messaging in environmental campaigns. In L. Ahern & D. Sevick Bortree (Eds.), Talking green: Exploring contemporary issues in environmental communications (pp. 9–36). New York: Peter Lang.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"createdcontentweb20wikisandsocialnetworking.htm>. O’Neill, S., & Boykoff, M. (2011). The role of new media in engaging the public with climate change. In L. Whitmarsh, S. O’Neill, & I. Lorenzoni (Eds.), Engaging the public with climate change: Behaviour change and communication (pp. 233–",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"createdcontentweb20wikisandsocialnetworking.htm>. O’Neill, S., & Boykoff, M. (2011). The role of new media in engaging the public with climate change. In L. Whitmarsh, S. O’Neill, & I. Lorenzoni (Eds.), Engaging the public with climate change: Behaviour change and communication (pp. 233–",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"O’Neill, S., & Boykoff, M. (2011). The role of new media in engaging the public with climate change. In L. Whitmarsh, S. O’Neill, & I. Lorenzoni (Eds.), Engaging the public with climate change: Behaviour change and communication (pp. 233– 251). London: Earthscan.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"O’Neill, S., & Boykoff, M. (2011). The role of new media in engaging the public with climate change. In L. Whitmarsh, S. O’Neill, & I. Lorenzoni (Eds.), Engaging the public with climate change: Behaviour change and communication (pp. 233– 251). London: Earthscan.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"251). London: Earthscan. O’Neill, S., & Nicholson-Cole, S. (2009). “Fear won’t do it”: Promoting positive engagement with climate change through visual and iconic representations <http://dx.doi.org/10.1177/1075547008329201>. Science Communication,",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"251). London: Earthscan. O’Neill, S., & Nicholson-Cole, S. (2009). “Fear won’t do it”: Promoting positive engagement with climate change through visual and iconic representations <http://dx.doi.org/10.1177/1075547008329201>. Science Communication,",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"O’Neill, S., Williams, H. T. P., Kurz, T., Wiersma, B., & Boykoff, M. (2015). Dominant frames in legacy and social media coverage of the IPCC Fifth Assessment Report <http://dx.doi.org/10.1038/nclimate2535>. Nature Climate Change, 5(4), 380–385.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"O’Neill, S., Williams, H. T. P., Kurz, T., Wiersma, B., & Boykoff, M. (2015). Dominant frames in legacy and social media coverage of the IPCC Fifth Assessment Report <http://dx.doi.org/10.1038/nclimate2535>. Nature Climate Change, 5(4), 380–385.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 17 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 17 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Page 17 of 19 Printed from Oxford Research Encyclopedias, Climate Science. Under the terms of the licence agreement, an individual user may print out a single article for personal use (for details see Privacy Policy and Legal Notice).",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Porter, A. J., & Hellsten, I. (2014). Investigating participatory dynamics through social media using a multideterminant “frame” approach: The case of climategate on YouTube <http://dx.doi.org/10.1111/jcc4.12065>. Journal of Computer- Mediated Communication, 19(4), 1024–1041.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Center. Readfearn, G. (2015, August 13). Scientists get tool to mark online climate science media coverage and it’s not a rusty teaspoon <http://www.theguardian.com/environment/planet-oz/2015/aug/14/scientists-get-tool-to-mark-online-",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"teaspoon <http://www.theguardian.com/environment/planet-oz/2015/aug/14/scientists-get-tool-to-mark-online- climate-science-media-coverage-and-its-not-a-rusty-teaspoon?CMP=share_btn_fb>. Guardian. Rosenstiel, T., Mitchell, A., Purcell, K., & Rainie, L. (2011, September 26). How people learn about their local",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Center. Sampei, Y., & Aoyagi-Usui, M. (2009). Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan’s national campaign to reduce greenhouse gas emissions <http://dx.doi.org/10.1016/",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",emissions,"Sampei, Y., & Aoyagi-Usui, M. (2009). Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan’s national campaign to reduce greenhouse gas emissions <http://dx.doi.org/10.1016/ j.gloenvcha.2008.10.005>. Global Environmental Change, 19(2), 203–212.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",green,"Sampei, Y., & Aoyagi-Usui, M. (2009). Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan’s national campaign to reduce greenhouse gas emissions <http://dx.doi.org/10.1016/ j.gloenvcha.2008.10.005>. Global Environmental Change, 19(2), 203–212.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",gas,"Sampei, Y., & Aoyagi-Usui, M. (2009). Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan’s national campaign to reduce greenhouse gas emissions <http://dx.doi.org/10.1016/ j.gloenvcha.2008.10.005>. Global Environmental Change, 19(2), 203–212.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",greenhouse gas,"Sampei, Y., & Aoyagi-Usui, M. (2009). Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan’s national campaign to reduce greenhouse gas emissions <http://dx.doi.org/10.1016/ j.gloenvcha.2008.10.005>. Global Environmental Change, 19(2), 203–212.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"movement.html>. Phys.org. Schäfer, M. S. (2012). Online communication on climate change and climate politics: A literature review <http:// onlinelibrary.wiley.com/doi/10.1002/wcc.191/abstract>. Wiley Interdisciplinary Reviews: Climate Change, 3(6), 527–543.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"movement.html>. Phys.org. Schäfer, M. S. (2012). Online communication on climate change and climate politics: A literature review <http:// onlinelibrary.wiley.com/doi/10.1002/wcc.191/abstract>. Wiley Interdisciplinary Reviews: Climate Change, 3(6), 527–543.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Schäfer, M. S. (2012). Online communication on climate change and climate politics: A literature review <http:// onlinelibrary.wiley.com/doi/10.1002/wcc.191/abstract>. Wiley Interdisciplinary Reviews: Climate Change, 3(6), 527–543. Scheufele, D. A., & Nisbet, M. C. (2002). Being a citizen online: New opportunities and dead ends <http://dx.doi.org/",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Schäfer, M. S. (2012). Online communication on climate change and climate politics: A literature review <http:// onlinelibrary.wiley.com/doi/10.1002/wcc.191/abstract>. Wiley Interdisciplinary Reviews: Climate Change, 3(6), 527–543. Scheufele, D. A., & Nisbet, M. C. (2002). Being a citizen online: New opportunities and dead ends <http://dx.doi.org/",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Segerberg, A., & Bennett, W. L. (2011). Social media and the organization of collective action: Using Twitter to explore the ecologies of two climate change protests <http://dx.doi.org/10.1080/10714421.2011.597250>. Communication Review, 14(3), 197–215.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Segerberg, A., & Bennett, W. L. (2011). Social media and the organization of collective action: Using Twitter to explore the ecologies of two climate change protests <http://dx.doi.org/10.1080/10714421.2011.597250>. Communication Review, 14(3), 197–215.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 18 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 18 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Page 18 of 19 Printed from Oxford Research Encyclopedias, Climate Science. Under the terms of the licence agreement, an individual user may print out a single article for personal use (for details see Privacy Policy and Legal Notice).",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"new-numbers-for-blogging-and-blog-readership/>. Pew Research Internet Project. Spence, A., Poortinga, W., & Pidgeon, N. (2012). The psychological distance of climate change <http://dx.doi.org/ 10.1111/j.1539-6924.2011.01695.x>. Risk Analysis, 32(6), 957–972.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"new-numbers-for-blogging-and-blog-readership/>. Pew Research Internet Project. Spence, A., Poortinga, W., & Pidgeon, N. (2012). The psychological distance of climate change <http://dx.doi.org/ 10.1111/j.1539-6924.2011.01695.x>. Risk Analysis, 32(6), 957–972.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Sunstein, C. (2007). Republic.com 2.0. Princeton, NJ: Princeton University Press. Taddicken, M. (2013). Climate change from the user’s perspective <http://dx.doi.org/10.1027/1864-1105/a000080>. Journal of Media Psychology: Theories, Methods, and Applications, 25(1), 39–52.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Sunstein, C. (2007). Republic.com 2.0. Princeton, NJ: Princeton University Press. Taddicken, M. (2013). Climate change from the user’s perspective <http://dx.doi.org/10.1027/1864-1105/a000080>. Journal of Media Psychology: Theories, Methods, and Applications, 25(1), 39–52.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"van der Linden, S. L., Leiserowitz, A. A., Feinberg, G. D., & Maibach, E. W. (2014). How to communicate the scientific consensus on climate change: Plain facts, pie charts or metaphors? <http://dx.doi.org/10.1007/s10584-014-1190-4> Climatic Change, 126(1), 255–262.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"van der Linden, S. L., Leiserowitz, A. A., Feinberg, G. D., & Maibach, E. W. (2014). How to communicate the scientific consensus on climate change: Plain facts, pie charts or metaphors? <http://dx.doi.org/10.1007/s10584-014-1190-4> Climatic Change, 126(1), 255–262.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",energy,"Vraga, E. K., Anderson, A. A., Kotcher, J. E., & Maibach, E. W. (2015). Issue-specific engagement: How Facebook contributes to opinion leadership and efficacy on energy and climate issues <http://dx.doi.org/ 10.1080/19331681.2015.1034910>. Journal of Information Technology & Politics, 12(2), 200–218.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Vraga, E. K., Anderson, A. A., Kotcher, J. E., & Maibach, E. W. (2015). Issue-specific engagement: How Facebook contributes to opinion leadership and efficacy on energy and climate issues <http://dx.doi.org/ 10.1080/19331681.2015.1034910>. Journal of Information Technology & Politics, 12(2), 200–218.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Williams, H. T. P., McMurray, J. R., Kurz, T., & Hugo Lambert, F. (2015). Network analysis reveals open forums and echo chambers in social media discussions of climate change <http://dx.doi.org/10.1016/j.gloenvcha.2015.03.006>. Global Environmental Change, 32, 126–138.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Williams, H. T. P., McMurray, J. R., Kurz, T., & Hugo Lambert, F. (2015). Network analysis reveals open forums and echo chambers in social media discussions of climate change <http://dx.doi.org/10.1016/j.gloenvcha.2015.03.006>. Global Environmental Change, 32, 126–138.",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 19 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Effects of Social Media Use on Climate Change Opinion, Knowledge, and Behavior Page 19 of 19",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Page 19 of 19 Printed from Oxford Research Encyclopedias, Climate Science. Under the terms of the licence agreement, an individual user may print out a single article for personal use (for details see Privacy Policy and Legal Notice).",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Related Articles Methods for Assessing Online Climate Change Communication, Social Media Discussion, and Behavior Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Related Articles Methods for Assessing Online Climate Change Communication, Social Media Discussion, and Behavior Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Methods for Assessing Online Climate Change Communication, Social Media Discussion, and Behavior Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms Internet-Enabled Activism and Climate Change",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Methods for Assessing Online Climate Change Communication, Social Media Discussion, and Behavior Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms Internet-Enabled Activism and Climate Change",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,"Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms Internet-Enabled Activism and Climate Change Online and Social Media Campaigns for Climate Change Engagement",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,"Climate Change Communication on Facebook, Twitter, Sina Weibo, and Other Social Media Platforms Internet-Enabled Activism and Climate Change Online and Social Media Campaigns for Climate Change Engagement",Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate,Internet-Enabled Activism and Climate Change Online and Social Media Campaigns for Climate Change Engagement,Journal
"Effects_of_Social_Media_Use_on_Climate_Change_Opinion,_Knowledge,_and_Behavior",climate change,Internet-Enabled Activism and Climate Change Online and Social Media Campaigns for Climate Change Engagement,Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study,Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable consumer,Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study,Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,"To cite this article: Aws Horrich , Myriam Ertz & Insaf Bekir (2025) Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study, Cogent Business & Management, 12:1, 2560648, DOI: 10.1080/23311975.2025.2560648",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable consumer,"To cite this article: Aws Horrich , Myriam Ertz & Insaf Bekir (2025) Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study, Cogent Business & Management, 12:1, 2560648, DOI: 10.1080/23311975.2025.2560648",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,"2025, VOL. 12, NO. 1, 2560648 Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable consumer,"2025, VOL. 12, NO. 1, 2560648 Exploring the role of social media in shaping sustainable consumer behavior: a qualitative study",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,"This study examines the impact of social media on environmental awareness, perceived environmental responsibility, and sustainable consumption aspirations among Tunisian consumers. Using a qualitative research design, semi-structured, in-depth interviews",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable consumption,"This study examines the impact of social media on environmental awareness, perceived environmental responsibility, and sustainable consumption aspirations among Tunisian consumers. Using a qualitative research design, semi-structured, in-depth interviews",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainability,"were conducted with 15 active social media users (students, professionals and retirees) who demonstrated an interest in sustainability-related content. The purposeful sampling approach ensured diversity in age, gender, and occupational backgrounds to capture",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainability,"varied perspectives. The findings reveal that social media plays a critical role in shaping sustainability awareness: Instagram drives aspirational consumption, Facebook fosters community engagement and YouTube serves as a key source of educational content.",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,"community engagement and YouTube serves as a key source of educational content. However, significant barriers—such as the high cost of sustainable products and limited community support—continue to hinder efforts to achieve behavioral change.",Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainable,Trustworthy information and community-driven initiatives on social media were identified as essential enablers of sustainable practices. This study contributes to the growing field of digital sustainability by offering platform-specific insights and practical,Journal
Exploring_the_role_of_social_media _in_shaping_sustainable_consumer_behavior__a_qualitative_study,sustainability,identified as essential enablers of sustainable practices. This study contributes to the growing field of digital sustainability by offering platform-specific insights and practical recommendations for policymakers and marketers seeking to address socio-economic,Journal
